,city,country,lat,lng,temp,humidity,cloudiness,wind_speed
81,teguldet,ru,59.5566952969814,87.24769538935305,58.27,80,76,2.39
82,vanimo,pg,-3.210733537118463,138.90612685055342,71.14,100,92,0.94
83,saleaula,ws,-9.338615269106468,-171.17683112652816,82.48,100,56,12.01
84,blythe,us,33.7156375176765,-114.66173659894949,73.4,28,1,4.7
85,akdepe,tm,41.59870910970531,58.21967895770796,86.35,16,0,11.23
86,kaitangata,nz,-78.71646631747903,176.7487516760071,-3.93,63,0,26.78
87,yurimaguas,pe,-6.038936190021234,-75.89376637385725,78.8,88,40,2.95
88,yellowknife,ca,78.57179543972798,-100.26892702573402,34.15,93,44,6.64
89,naze,jp,28.7533639642827,131.41694151072008,86.17,96,80,14.25
90,luderitz,na,-27.589051107101447,14.640026808040494,58.27,100,0,23.2
91,laguna,br,-46.04380670696628,-29.26593010299218,42.61,92,68,18.16
92,ribeira grande,pt,37.474995146228366,-37.96848343066887,78.7,98,20,14.58
93,bastia,fr,43.35061174885521,9.34238216331892,76.81,97,48,5.97
94,mount isa,au,-23.428055344293924,139.08940544179077,57.46,78,0,5.97
95,sao joao da barra,br,-25.617554356583614,-33.26044289612798,66.37,100,68,9.22
96,kodiak,us,51.907039452697866,-151.99323987801807,55.03,100,64,22.86
97,burewala,pk,30.102984809101958,72.73322127976398,90.67,46,0,7.76
98,geraldton,au,-28.190414244831842,109.630067216741,61.15,100,0,12.12
99,aquiraz,br,-2.4736372561462963,-37.52151877536515,78.43,100,92,20.85
100,santa maria,cv,18.674288896666933,-19.93888164042333,80.86,95,0,21.85
101,meulaboh,id,2.3584854500700727,91.77583327007328,78.7,100,80,13.58
102,te anau,nz,-44.82605892557361,163.00820604513873,52.69,98,12,20.29
103,imbituba,br,-29.45804685431113,-43.40592774222209,64.66,100,0,10
104,codrington,ag,26.767943065388618,-46.86538865124378,79.06,100,88,12.12
105,roald,no,72.67898550180767,1.399278163980302,46.66,100,88,3.96
106,east london,za,-53.15436749713863,43.600643385216344,32.62,100,64,43.22
107,san antonio,cl,-33.462192679116754,-71.89306222740244,49.44,87,0,4.7
108,inirida,co,4.49591260622555,-67.28946093484909,73.66,81,36,3.06
109,sorong,id,3.0734846577316155,131.67519864986002,81.49,100,76,8.66
110,hithadhoo,mv,-1.8920651694231927,80.13036890783287,83.11,100,88,7.2
111,treinta y tres,uy,-32.92431249648173,-55.18687058446044,58.63,81,0,10.45
112,roura,gf,4.377956023816669,-53.12139298092982,89.41,60,0,4.18
113,nemuro,jp,43.19176056798915,145.76309238140968,58.9,100,88,12.46
114,khorixas,na,-20.70460942075106,13.659543693402474,67.09,71,0,12.8
115,urucara,br,-2.237324013265515,-57.51173129209163,92.74,52,12,5.75
116,el paujil,co,1.4723771618941772,-75.09637891438561,84.46,74,12,2.95
117,kapitanivka,ua,48.84713122387433,31.906617356647413,83.65,50,12,9.78
118,ranfurly,nz,-45.349512110037516,170.0365762207585,52.06,68,24,14.58
119,jamestown,sh,-50.05067614521264,-14.036189252537907,38.2,91,92,15.7
120,puerto baquerizo moreno,ec,4.05088918991787,-87.4365762938436,77.26,100,80,10.45
121,kota bahru,my,6.9180736512231675,102.92995537853446,80.77,100,76,6.76
122,flinders,au,-33.41130984711263,133.76007801172722,60.88,99,56,33.82
123,coihaique,cl,-46.696957662342264,-76.44140333189428,48.01,100,92,20.85
124,north bend,us,42.94624087567202,-129.98334708414663,64.48,99,68,14.03
125,kabanjahe,id,3.005326609289246,98.05866085113608,71.41,94,76,1.16
126,hambantota,lk,-1.527161511166033,83.24113225927947,82.48,100,68,12.24
127,camapua,br,-19.61961839768148,-53.58269953495457,73.84,80,76,11.56
128,illoqqortoormiut,gl,88.69931424156464,-33.3987673970752,27.31,100,80,20.74
129,kyaukse,mm,21.37301536204178,96.74601323667098,70.06,97,68,1.95
130,maun,bw,-19.3088864150779,24.32761194309927,83.74,16,0,8.66
131,san cristobal,ec,-14.122135240517965,-92.61234077636153,68.26,100,68,23.53
132,galveston,us,29.25459545093958,-94.85355138417152,85.14,70,20,13.87
133,heihe,cn,49.65028416035625,126.61618712159652,64.93,99,80,2.39
134,walvis bay,na,-24.331465074928165,11.72169802126046,60.61,100,0,26.22
135,vaitupu,wf,-1.4149055544601086,-175.9968985912203,80.41,100,48,7.76
136,bethel,us,49.22623586230561,-163.46268195931884,51.61,100,92,15.26
137,andalan,ph,6.121664163303606,121.36536869339959,79.42,100,92,6.42
138,new norfolk,au,-86.67432030054279,125.28160269094849,-46.86,0,36,31.14
139,mar del plata,ar,-64.75448847385564,-31.49025004154415,28.93,95,88,22.86
140,aklavik,ca,69.78552483287699,-139.14862791214333,47.02,98,12,7.2
141,pallipattu,in,13.157251735197072,79.39600910921698,74.2,92,32,2.17
142,honiara,sb,-16.316044853780326,156.1677922666358,75.37,100,88,17.27
143,san patricio,mx,-0.22516294113376079,-116.39569960552967,73.39,100,44,14.14
144,barrow,us,85.965940818595,-168.31161960072794,28.48,100,80,1.61
145,airai,pw,18.578898681860284,148.31455140554525,84.19,100,8,5.08
146,bredasdorp,za,-80.71731668516531,26.79947089455132,-74.4,0,0,4.07
147,cidreira,br,-54.47803966065387,-22.611888261485234,34.42,92,88,26.89
148,nome,us,66.07976838356805,-167.98158051344674,41.99,86,75,20.8
149,hit,iq,34.332570180398285,42.71720594024707,108.85,16,36,10
150,saint-philippe,re,-63.24301712348585,69.60252750805402,29.29,91,80,16.71
151,alofi,nu,-24.442034436927372,-170.3809095032847,69.79,100,100,29.35
152,tubuala,pa,10.103310334132251,-78.85217279297186,81.31,100,48,10.56
153,longyearbyen,sj,87.27525476840657,26.106035730866587,27.85,98,76,23.53
154,luena,ao,-11.828584687090913,19.315905300242967,82.03,16,0,3.18
155,ixtapa,mx,-0.32082522657270407,-110.52941777030863,73.03,100,92,16.71
156,mys shmidta,ru,79.83403511476558,-173.74645682666326,30.91,98,92,19.62
157,sulangan,ph,11.040228326468036,127.2400440709615,85.81,100,68,10.56
158,kununurra,au,-15.50641204175465,129.64114657526682,65.65,61,0,4.07
159,mulchen,cl,-37.91918878370557,-71.05226737473612,44.59,43,0,3.18
160,kapaa,us,30.800555957386525,-165.20773827327503,76,100,88,8.66
161,liepaja,lv,56.973516488647,19.750210640107166,62.95,100,100,14.81
162,kasongo-lunda,cd,-7.032552366798885,17.594434936164138,90.85,23,0,3.4
163,huarmey,pe,-16.745707244647296,-90.98366372148915,67.18,100,48,23.31
164,makakilo city,us,7.660956488860677,-165.56785990174043,80.77,100,76,8.43
165,amderma,ru,71.43372840781919,58.36498921210611,42.97,89,0,18.5
166,grand river south east,mu,-25.63562705978429,84.4248054102947,66.28,100,92,22.3
167,saldanha,za,-43.34505793721311,-3.7073704883498038,46.03,99,88,8.55
168,saint george,bm,29.656080624026064,-59.396103400976585,81.04,100,76,7.65
169,kortkeros,ru,61.43041393724329,51.46634472022236,69.8,43,40,6.71
170,poya,nc,-26.236020576104355,161.04480646175517,69.61,100,0,16.15
171,san vicente,ar,-34.999837922836086,-58.225079951834125,53.6,71,0,3.36
172,dalvik,is,67.67887582017894,-18.145628138492146,44.68,100,64,10
173,port blair,in,14.114792855036761,89.1795787022721,80.68,100,92,22.3
174,luangwa,zm,-15.109448661170987,30.23896953337346,83.83,21,0,0.94
175,avera,pf,-23.033773404849388,-150.91072266980757,70.51,100,20,24.54
176,yarmouth,ca,39.80319666001311,-66.17637476135472,73.93,100,76,20.29
177,shache,cn,38.1844806998181,79.05401346463759,74.56,47,64,7.2
178,batemans bay,au,-38.05168752799247,152.52743256941923,62.77,96,0,31.92
179,puerto madryn,ar,-42.55278691720767,-63.56778001111499,51.7,82,20,11.12
180,devils lake,us,48.163641589399155,-99.32489031483999,62.15,100,75,8.05
181,leningradskiy,ru,75.07503639567983,179.77472443883988,30.82,95,80,18.28
182,victoria,sc,-8.385440884799845,58.74146971877071,79.78,100,36,21.85
183,necochea,ar,-48.76774735882058,-55.098129949354586,42.34,92,56,24.09
184,virginia beach,us,36.73528651569588,-74.13513933566136,74.92,100,8,14.7
185,sosnovskiy,ru,54.52562472075219,73.29577011568975,68,60,75,6.71
186,kawalu,id,-15.643510326918097,105.8962061891686,75.37,100,64,23.87
187,viedma,ar,-45.145083599048604,-60.29398584228124,45.85,95,80,19.62
188,clyde river,ca,71.49080575616031,-64.4305113418863,40.54,100,8,14.81
189,anadyr,ru,63.707838856112915,172.75758661485477,60.43,52,36,16.26
190,kieta,pg,-0.1830405590849904,160.5363011357936,84.46,100,88,10.78
191,cabedelo,br,-6.4919257399714585,-31.79666779914517,79.24,100,24,16.71
192,bathsheba,bb,14.851935652025038,-56.091102108685206,83.11,100,80,17.16
193,jinchang,cn,39.18019169173659,103.55723029309434,80.86,30,48,10.11
194,fayaoue,nc,-18.621620192471298,166.47748235704188,73.66,100,0,22.19
195,salinas,ec,-2.4969961109121797,-84.0695770640502,66.28,100,0,12.46
196,cockburn town,tc,22.901114004780155,-70.13848255965549,83.83,100,0,15.59
197,samoded,ru,63.81094024445778,40.951846976042916,65.47,56,80,5.75
198,kruisfontein,za,-69.48539288562084,28.679195298077722,-16.35,94,0,5.97
199,comodoro rivadavia,ar,-50.35835051989691,-61.39912908488228,44.68,95,36,21.74
200,marrakesh,ma,31.690353715062923,-8.26197177701536,100.4,22,20,4.7
201,sokoto,ng,12.822328559120857,5.681498112835945,90.13,67,12,11.45
202,souillac,mu,-54.184071757758296,73.80963983532587,38.65,85,88,41.32
203,alta floresta,br,-12.191315518448038,-53.501591916266534,92.92,40,12,3.4
204,pensacola,us,30.332223972003753,-87.08477222413549,82.04,89,1,3.51
205,dikson,ru,85.2741430915276,74.11423363795821,29.29,95,76,26.66
206,panguna,pg,-5.90989712223695,154.50620837677653,75.91,100,20,6.2
207,chuy,uy,-51.728479471373376,-34.699902286542404,38.11,91,92,29.24
208,fortuna,us,36.57759648817822,-140.880423255935,70.87,100,92,14.7
209,adrar,dz,25.15908893558423,2.9140965756302784,111.19,8,92,8.43
210,mumford,gh,-1.2736102593127996,1.2603617393708588,73.03,100,56,10.78
211,axim,gh,-0.6505851692741482,-2.465120985281135,73.03,100,36,13.13
212,tasiilaq,gl,85.15191351579699,-36.12773749825751,31.9,99,92,15.7
213,kunming,cn,25.699326768172696,102.70704404167924,57.91,97,24,2.06
214,tabiauea,ki,-1.2878060524360457,170.9852435344966,82.21,100,92,7.76
215,san luis,ar,-33.04897844058196,-67.14352975334013,60.52,27,0,8.43
216,half moon bay,us,31.236583834780387,-134.41978182916745,68.8,100,92,14.14
217,shillong,in,25.58951601884029,92.22890236764106,73.39,96,92,1.16
218,burnie,au,-44.04170212731323,141.55539502479186,50.98,100,44,30.36
219,guajara-mirim,br,-9.995933745271975,-64.43106531217732,93.1,54,8,2.95
220,haines junction,ca,55.89142321937772,-141.570760282119,56.29,100,44,21.3
221,ekimchan,ru,52.69439893942787,133.0996367555753,61.51,83,44,1.05
222,wonthaggi,au,-38.40844122748363,145.66681567847428,49.81,97,92,12.68
223,jequie,br,-13.931710905117392,-40.5950476072522,73.57,78,0,6.2
224,gaoual,gn,11.951525817419272,-13.152095081038732,85.99,93,24,2.62
225,hunza,pk,37.323167852264525,73.98906098212244,30.82,100,36,1.95
226,quatre cocos,mu,-16.520632363427076,72.54185280253157,75.28,100,76,27.22
227,rio gallegos,ar,-53.021430668092094,-68.12312330149184,41.71,89,80,25.55
228,marsh harbour,bs,27.898029989274846,-74.30223786483512,86.98,92,92,6.53
229,marjamaa,ee,58.840777273789016,24.62307172923713,71.8,56,0,8.05
230,boende,cd,-1.4295752859626665,21.891672845152183,79.69,81,20,3.51
231,samusu,ws,-12.40176837450282,-169.1783186949868,81.58,100,76,20.18
232,attawapiskat,ca,65.65713535479524,-85.18233462296362,50.08,100,0,3.4
233,yerbogachen,ru,63.773388472426554,109.20214356297083,52.96,58,0,4.07
234,yulara,au,-22.65372692364713,130.35727473601386,58.27,62,0,4.97
235,faanui,pf,-14.718595399475591,-152.64572398349253,78.43,100,0,22.53
236,mana,gf,11.368971313022067,-52.163419139157845,82.39,100,80,7.09
237,dujuma,so,1.6463647971833528,42.9352063671866,83.38,57,8,11.56
238,portland,au,-55.13262028237671,131.5114008296318,33.7,100,76,27.67
239,tiarei,pf,-13.267619584507774,-146.18324655398632,78.79,100,64,16.04
240,ferme-neuve,ca,47.26284084241827,-75.45473901900888,60.25,74,36,6.42
241,aykhal,ru,68.97484054113056,107.10248755820959,48.73,70,44,9.78
242,karratha,au,-21.933783712605685,116.56313386722778,64.21,27,0,14.7
243,vaitape,pf,-17.22971657202282,-153.42014504082618,78.07,100,20,27.89
244,hamilton,bm,26.44089936397001,-66.46977858275257,83.29,100,32,12.01
245,genhe,cn,49.61437105065279,122.15088919221719,58.54,96,8,2.39
246,merauke,id,-9.731345965051098,138.78414723817437,79.24,100,32,17.49
247,castanhal,br,-1.267982147407729,-47.74266652720586,87.97,71,32,8.55
248,harper,lr,0.23279967083500108,-11.320293215431354,74.92,100,12,15.14
249,novyye burasy,ru,52.19699643140348,45.97476177491332,80.32,31,0,9.44
