team,ranking,year
ARI,17,2017
ATL,6,2017
BAL,23,2017
BUF,10,2017
CAR,12,2017
CHI,5,2017
CIN,31,2017
CLE,2,2017
DAL,9,2017
DEN,25,2017
DET,24,2017
GB,8,2017
HOU,29,2017
IND,22,2017
JAC,13,2017
KC,15,2017
LAC,21,2017
LAR,18,2017
MIA,26,2017
MIN,14,2017
NE,19,2017
NO,16,2017
NYG,28,2017
NYJ,20,2017
OAK,7,2017
PHI,1,2017
PIT,3,2017
SEA,32,2017
SF,27,2017
TB,30,2017
TEN,4,2017
WAS,11,2017
